iter	Passed	Remaining
202	1708	6708
203	1716	6697
204	1724	6686
205	1731	6675
206	1739	6664
207	1747	6654
208	1755	6643
209	1763	6634
210	1770	6621
211	1778	6611
212	1787	6604
213	1796	6598
214	1805	6591
215	1813	6580
216	1821	6574
217	1829	6563
218	1837	6553
219	1844	6540
220	1853	6533
221	1860	6520
222	1868	6510
223	1876	6501
224	1885	6495
225	1893	6485
226	1902	6477
227	1909	6466
228	1917	6457
229	1926	6449
230	1934	6440
231	1942	6429
232	1950	6422
233	1958	6411
234	1966	6400
235	1973	6388
236	1981	6379
237	1989	6368
238	1997	6360
239	2005	6350
240	2013	6341
241	2021	6331
242	2029	6322
243	2038	6314
244	2046	6307
245	2054	6297
246	2062	6288
247	2071	6281
248	2079	6273
249	2087	6262
250	2095	6254
251	2106	6251
252	2115	6245
253	2123	6237
254	2132	6229
255	2140	6221
256	2150	6216
257	2158	6207
258	2165	6196
259	2173	6185
260	2180	6174
261	2187	6162
262	2195	6151
263	2202	6139
264	2209	6127
265	2215	6114
266	2222	6102
267	2230	6091
268	2237	6080
269	2244	6068
270	2251	6056
271	2258	6045
272	2266	6035
273	2273	6023
274	2281	6014
275	2288	6003
276	2296	5993
277	2303	5982
278	2311	5972
279	2318	5961
280	2325	5950
281	2332	5938
282	2339	5927
283	2346	5915
284	2353	5904
285	2360	5894
286	2367	5882
287	2375	5872
288	2382	5861
289	2389	5850
290	2396	5838
291	2404	5828
292	2411	5818
293	2420	5811
294	2429	5806
295	2439	5801
296	2447	5793
297	2456	5787
298	2465	5779
299	2472	5769
300	2480	5760
301	2488	5752
302	2497	5744
303	2505	5736
304	2512	5725
305	2520	5716
306	2528	5708
307	2535	5697
308	2543	5688
309	2551	5678
310	2558	5668
311	2565	5657
312	2573	5648
313	2580	5638
314	2589	5630
315	2597	5621
316	2605	5613
317	2613	5605
318	2622	5598
319	2630	5589
320	2638	5581
321	2646	5572
322	2653	5562
323	2661	5553
324	2669	5544
325	2676	5534
326	2684	5525
327	2692	5517
328	2700	5507
329	2708	5498
330	2715	5487
331	2722	5477
332	2729	5467
333	2736	5456
334	2744	5447
335	2751	5437
336	2758	5427
337	2765	5417
338	2772	5406
339	2779	5394
340	2786	5385
341	2793	5374
342	2801	5365
343	2808	5354
344	2815	5345
345	2822	5334
346	2829	5323
347	2836	5313
348	2842	5302
349	2849	5291
350	2855	5280
351	2862	5270
352	2869	5259
353	2876	5249
354	2884	5240
355	2891	5230
356	2899	5222
357	2907	5214
358	2916	5207
359	2924	5199
360	2933	5193
361	2941	5184
362	2950	5177
363	2958	5168
364	2966	5160
365	2973	5150
366	2981	5142
367	2988	5133
368	2996	5123
369	3003	5113
370	3010	5104
371	3018	5095
372	3025	5085
373	3033	5076
374	3040	5067
375	3053	5067
376	3067	5068
377	3076	5062
378	3084	5053
379	3091	5043
380	3098	5033
381	3105	5023
382	3111	5012
383	3117	5001
384	3123	4989
385	3130	4980
386	3138	4971
387	3145	4961
388	3152	4951
389	3159	4941
390	3165	4930
391	3172	4920
392	3179	4911
393	3187	4901
394	3194	4893
395	3201	4883
396	3208	4873
397	3215	4863
398	3221	4852
399	3229	4843
400	3235	4832
401	3243	4824
402	3249	4814
403	3257	4804
404	3263	4795
405	3270	4785
406	3278	4776
407	3284	4766
408	3291	4756
409	3298	4746
410	3305	4736
411	3312	4726
412	3319	4717
